name,area
"Canutama:1300904",179.56
"Seringueiras:1101500",13.15
"Peixoto de Azevedo:5106422",58.07
"Nova Esperança do Piriá:1504950",8.13
"Nova Mamoré:1100338",154.52
"Aurora do Pará:1500958",1.51
"Amapá do Maranhão:2100550",1.84
"Rondon do Pará:1506187",35.99
"Nova Ubiratã:5106240",64.29
"Novo Mundo:5106265",13.01
"Irituia:1503507",0.68
"Nova Santa Helena:5106190",34.38
"Porto dos Gaúchos:5106802",41.71
"São Miguel do Guamá:1507607",0.22
"Cotriguaçu:5103379",43.07
"Vitória do Xingu:1508357",2.28
"Itupiranga:1503705",11.62
"Vila Bela da Santíssima Trindade:5105507",6.47
"Melgaço:1504505",0.25
"Pauini:1303502",25.72
"Paulo Ramos:2108108",0.81
"Caapiranga:1300839",2.7
"Nova Bandeirantes:5106158",151.73
"Baião:1501204",5.34
"Moju:1504703",54.61
"Carauari:1301001",1.29
"Parecis:1101450",1.83
"Novo Horizonte do Oeste:1100502",1.76
"Coari:1301209",2.5
"Tabaporã:5107941",33.68
"Vale do Anari:1101757",3.8
"Boa Vista do Ramos:1300680",0.56
"Acrelândia:1200013",14.04
"Araguatins:1702208",0.95
"Bom Jesus das Selvas:2102036",4.18
"Xambioá:1722107",0.45
"Marapanim:1504406",0.43
"Chupinguaia:1100924",4.52
"Carlinda:5102793",1.23
"Trairão:1508050",96.28
"Santa Helena:2109809",0.33
"Bonfim:1400159",2.44
"Rosário:2109601",0.15
"Santana:1600600",0.06
"Pracuúba:1600550",0.07
"União do Sul:5108303",229.95
"Tomé-Açu:1508001",22.51
"Miranda do Norte:2106755",0.12
"Guarantã do Norte:5104104",9.77
"Cláudia:5103056",37.94
"Sapucaia:1507755",0.69
"Aripuanã:5101407",120.21
"Benjamin Constant:1300607",0.04
"Atalaia do Norte:1300201",0.86
"Aragominas:1701309",1.11
"Marechal Thaumaturgo:1200351",6.73
"Rolim de Moura:1100288",0.79
"Paranaíta:5106299",28.86
"Rio Branco:1200401",121.15
"Grajaú:2104800",0.23
"Tapurah:5108006",4.51
"Salvaterra:1506302",0.07
"Redenção:1506138",0.04
"Ipixuna:1301803",13.64
"Codajás:1301308",1.8
"Alvorada D'Oeste:1100346",0.82
"Cabixi:1100031",0.8
"Capixaba:1200179",17.82
"Novo Aripuanã:1303304",289.42
"Aveiro:1501006",37.33
"Ourilândia do Norte:1505437",2.12
"Piçarra:1505635",1.57
"Apuí:1300144",667.39
"Vigia:1508209",0.22
"Presidente Sarney:2109270",0.53
"Santana do Araguaia:1506708",17.02
"Ariquemes:1100023",15.05
"Oriximiná:1505304",9.55
"Novo Progresso:1505031",244.27
"Nova Maringá:5108907",52.9
"Manaquiri:1302553",1.16
"Altamira:1500602",594.8
"Plácido de Castro:1200385",5.37
"Luís Domingues:2106201",0.43
"Primavera:1506104",0.14
"Japurá:1302108",0.08
"Presidente Figueiredo:1303536",6.68
"Santa Carmem:5107248",44.58
"Cumaru do Norte:1502764",19.99
"São José do Rio Claro:5107305",1.42
"Sinop:5107909",6.03
"Mirante da Serra:1101302",1.96
"Cujubim:1100940",96.73
"Pacajá:1505486",191.21
"Macapá:1600303",1.13
"Apiacás:5100805",68.72
"Porto Esperidião:5106828",0.41
"Theobroma:1101609",2.96
"Careiro da Várzea:1301159",12.76
"Sena Madureira:1200500",98.34
"Rio Preto da Eva:1303569",0.73
"Manoel Urbano:1200344",80.46
"Manicoré:1302702",228.56
"Água Azul do Norte:1500347",7.41
"Eldorado do Carajás:1502954",1.03
"Cruzeiro do Sul:1200203",36.43
"Autazes:1300300",29.04
"São Félix do Xingu:1507300",490.47
"São Caetano de Odivelas:1507102",0.16
"Ferreira Gomes:1600238",0.19
"Canarana:5102702",1.56
"Envira:1301506",14.02
"Carutapera:2102903",0.22
"Barra do Bugres:5101704",27.25
"Itinga do Maranhão:2105427",23.53
"Breu Branco:1501782",5.43
"Nhamundá:1303007",6.42
"Xinguara:1508407",2.24
"Novo Repartimento:1505064",78.95
"Jutaí:1302306",0.59
"Epitaciolândia:1200252",9.93
"Óbidos:1505106",28.37
"Pimenta Bueno:1100189",14.46
"Senador Guiomard:1200450",11.52
"Uruará:1508159",195.97
"Santa Rosa do Purus:1200435",1.75
"Tartarugalzinho:1600709",0.99
"São Sebastião do Uatumã:1303957",3.36
"Bujaru:1501907",0.25
"São João de Pirabas:1507474",0.42
"Fonte Boa:1301605",0.31
"Santa Luzia:2110005",2.65
"Novo Airão:1303205",1.37
"Ipiranga do Norte:5104526",4.3
"Urucurituba:1304401",1.1
"Feliz Natal:5103700",58.75
"Santa Isabel do Rio Negro:1303601",0.27
"Vera:5108501",2.78
"Riachinho:1718550",0.35
"Itapuã do Oeste:1101104",12.57
"Porto de Moz:1505908",33.6
"Jaru:1100114",7.92
"Brejo Grande do Araguaia:1501758",0.84
"Maracanã:1504307",0.15
"Itapecuru Mirim:2105401",0.07
"Espigão D'Oeste:1100098",4.43
"Vilhena:1100304",7.75
"Santa Maria das Barreiras:1506583",22.65
"Jacareacanga:1503754",89.63
"Nova Ipixuna:1504976",1.97
"Rondolândia:5107578",52.54
"São João da Baliza:1400506",11.82
"Brasnorte:5101902",15.04
"Corumbiara:1100072",2.4
"Caracaraí:1400209",25.84
"Itanhangá:5104542",7.96
"Marajá do Sena:2106359",3.76
"Porto Velho:1100205",520.89
"Bom Jesus do Tocantins:1501576",3
"Alto Alegre:1400050",5.03
"Porto Walter:1200393",6.37
"Santa Terezinha:5107776",14.52
"Garrafão do Norte:1503077",1.08
"Maués:1302900",111.35
"Itapiranga:1302009",1
"Rio Maria:1506161",9.18
"Silves:1304005",0.71
"Itaúba:5104559",9.55
"Porto Alegre do Norte:5106778",4.97
"Itamarati:1301951",1.3
"Floresta do Araguaia:1503044",2.3
"Nova Canaã do Norte:5106216",7.72
"Nova Monte Verde:5108956",44.92
"São Domingos do Capim:1507201",1.2
"Abel Figueiredo:1500131",2
"Senador José Porfírio:1507805",119.92
"Placas:1505650",119.38
"Vitória do Mearim:2112902",0.07
"Castanheiras:1100908",0.18
"Nova Olímpia:5106232",0.46
"Colíder:5103205",2.81
"Costa Marques:1100080",40.72
"Vale do Paraíso:1101807",0.82
"Tefé:1304203",7.52
"Nova Mutum:5106224",0.48
"Cerejeiras:1100056",4
"Novo Horizonte do Norte:5106273",0.06
"Turiaçu:2112407",0.22
"Lábrea:1302405",662.92
"Acará:1500206",1.86
"Canabrava do Norte:5102694",3.3
"Rodrigues Alves:1200427",13.02
"Breves:1501808",0.13
"Oeiras do Pará:1505205",0.85
"Mucajaí:1400308",19.11
"Arame:2100956",12.09
"Borba:1300805",35.74
"Alto Boa Vista:5100359",7.05
"Juína:5105150",5.68
"Araguanã:1702158",0.33
"Pau D'Arco:1505551",4.96
"Cantá:1400175",8.89
"João Lisboa:2105500",0.11
"Monte Alegre:1504802",24.05
"Pimenteiras do Oeste:1101468",4.47
"Juruti:1503903",9.38
"Campo Novo de Rondônia:1100700",12.41
"Oiapoque:1600501",0.5
"Gaúcha do Norte:5103858",8.26
"Ministro Andreazza:1101203",0.56
"Cachoeira do Piriá:1501956",13.85
"Rio Crespo:1100262",3.44
"Terra Santa:1507979",4.05
"Pontes e Lacerda:5106752",3.7
"Terra Nova do Norte:5108055",0.88
"São Félix do Araguaia:5107859",16.34
"Tapauá:1304104",62
"Brasil Novo:1501725",6.15
"Centro do Guilherme:2103158",0.14
"Ouro Preto do Oeste:1100155",1.36
"Juruena:5105176",1.41
"Vila Rica:5108600",8.84
"Xapuri:1200708",56.3
"Candeias do Jamari:1100809",186.03
"Araguaína:1702109",0.83
"Ipixuna do Pará:1503457",11.94
"Alto Alegre dos Parecis:1100379",8.28
"Eirunepé:1301407",1.24
"Amajari:1400027",7.3
"Faro:1503002",2.07
