name,perc
"Canutama:1300904",1.574
"Seringueiras:1101500",0.1153
"Peixoto de Azevedo:5106422",0.5091
"Nova Esperança do Piriá:1504950",0.0713
"Nova Mamoré:1100338",1.3545
"Aurora do Pará:1500958",0.0132
"Amapá do Maranhão:2100550",0.0162
"Rondon do Pará:1506187",0.3155
"Nova Ubiratã:5106240",0.5635
"Novo Mundo:5106265",0.1141
"Irituia:1503507",0.006
"Nova Santa Helena:5106190",0.3014
"Porto dos Gaúchos:5106802",0.3656
"São Miguel do Guamá:1507607",0.0019
"Cotriguaçu:5103379",0.3775
"Vitória do Xingu:1508357",0.02
"Itupiranga:1503705",0.1019
"Vila Bela da Santíssima Trindade:5105507",0.0567
"Melgaço:1504505",0.0022
"Pauini:1303502",0.2255
"Paulo Ramos:2108108",0.0071
"Caapiranga:1300839",0.0237
"Nova Bandeirantes:5106158",1.3301
"Baião:1501204",0.0468
"Moju:1504703",0.4787
"Carauari:1301001",0.0113
"Parecis:1101450",0.0161
"Novo Horizonte do Oeste:1100502",0.0155
"Coari:1301209",0.0219
"Tabaporã:5107941",0.2952
"Vale do Anari:1101757",0.0333
"Boa Vista do Ramos:1300680",0.0049
"Acrelândia:1200013",0.123
"Araguatins:1702208",0.0083
"Bom Jesus das Selvas:2102036",0.0367
"Xambioá:1722107",0.0039
"Marapanim:1504406",0.0038
"Chupinguaia:1100924",0.0396
"Carlinda:5102793",0.0107
"Trairão:1508050",0.844
"Santa Helena:2109809",0.0029
"Bonfim:1400159",0.0214
"Rosário:2109601",0.0013
"Santana:1600600",0.0006
"Pracuúba:1600550",0.0006
"União do Sul:5108303",2.0158
"Tomé-Açu:1508001",0.1973
"Miranda do Norte:2106755",0.001
"Guarantã do Norte:5104104",0.0856
"Cláudia:5103056",0.3325
"Sapucaia:1507755",0.006
"Aripuanã:5101407",1.0537
"Benjamin Constant:1300607",0.0004
"Atalaia do Norte:1300201",0.0076
"Aragominas:1701309",0.0097
"Marechal Thaumaturgo:1200351",0.059
"Rolim de Moura:1100288",0.0069
"Paranaíta:5106299",0.253
"Rio Branco:1200401",1.062
"Grajaú:2104800",0.002
"Tapurah:5108006",0.0395
"Salvaterra:1506302",0.0006
"Redenção:1506138",0.0004
"Ipixuna:1301803",0.1195
"Codajás:1301308",0.0158
"Alvorada D'Oeste:1100346",0.0072
"Cabixi:1100031",0.007
"Capixaba:1200179",0.1562
"Novo Aripuanã:1303304",2.537
"Aveiro:1501006",0.3272
"Ourilândia do Norte:1505437",0.0186
"Piçarra:1505635",0.0137
"Apuí:1300144",5.8503
"Vigia:1508209",0.0019
"Presidente Sarney:2109270",0.0046
"Santana do Araguaia:1506708",0.1492
"Ariquemes:1100023",0.1319
"Oriximiná:1505304",0.0838
"Novo Progresso:1505031",2.1413
"Nova Maringá:5108907",0.4637
"Manaquiri:1302553",0.0102
"Altamira:1500602",5.214
"Plácido de Castro:1200385",0.047
"Luís Domingues:2106201",0.0038
"Primavera:1506104",0.0012
"Japurá:1302108",0.0007
"Presidente Figueiredo:1303536",0.0585
"Santa Carmem:5107248",0.3908
"Cumaru do Norte:1502764",0.1752
"São José do Rio Claro:5107305",0.0125
"Sinop:5107909",0.0529
"Mirante da Serra:1101302",0.0172
"Cujubim:1100940",0.848
"Pacajá:1505486",1.6761
"Macapá:1600303",0.0099
"Apiacás:5100805",0.6024
"Porto Esperidião:5106828",0.0036
"Theobroma:1101609",0.026
"Careiro da Várzea:1301159",0.1118
"Sena Madureira:1200500",0.862
"Rio Preto da Eva:1303569",0.0064
"Manoel Urbano:1200344",0.7054
"Manicoré:1302702",2.0035
"Água Azul do Norte:1500347",0.0649
"Eldorado do Carajás:1502954",0.009
"Cruzeiro do Sul:1200203",0.3193
"Autazes:1300300",0.2545
"São Félix do Xingu:1507300",4.2995
"São Caetano de Odivelas:1507102",0.0014
"Ferreira Gomes:1600238",0.0017
"Canarana:5102702",0.0137
"Envira:1301506",0.1229
"Carutapera:2102903",0.002
"Barra do Bugres:5101704",0.2389
"Itinga do Maranhão:2105427",0.2062
"Breu Branco:1501782",0.0476
"Nhamundá:1303007",0.0563
"Xinguara:1508407",0.0197
"Novo Repartimento:1505064",0.6921
"Jutaí:1302306",0.0052
"Epitaciolândia:1200252",0.087
"Óbidos:1505106",0.2487
"Pimenta Bueno:1100189",0.1267
"Senador Guiomard:1200450",0.101
"Uruará:1508159",1.7179
"Santa Rosa do Purus:1200435",0.0154
"Tartarugalzinho:1600709",0.0087
"São Sebastião do Uatumã:1303957",0.0295
"Bujaru:1501907",0.0022
"São João de Pirabas:1507474",0.0037
"Fonte Boa:1301605",0.0027
"Santa Luzia:2110005",0.0232
"Novo Airão:1303205",0.012
"Ipiranga do Norte:5104526",0.0377
"Urucurituba:1304401",0.0096
"Feliz Natal:5103700",0.515
"Santa Isabel do Rio Negro:1303601",0.0024
"Vera:5108501",0.0244
"Riachinho:1718550",0.003
"Itapuã do Oeste:1101104",0.1102
"Porto de Moz:1505908",0.2945
"Jaru:1100114",0.0695
"Brejo Grande do Araguaia:1501758",0.0074
"Maracanã:1504307",0.0013
"Itapecuru Mirim:2105401",0.0006
"Espigão D'Oeste:1100098",0.0388
"Vilhena:1100304",0.0679
"Santa Maria das Barreiras:1506583",0.1985
"Jacareacanga:1503754",0.7857
"Nova Ipixuna:1504976",0.0172
"Rondolândia:5107578",0.4605
"São João da Baliza:1400506",0.1036
"Brasnorte:5101902",0.1318
"Corumbiara:1100072",0.021
"Caracaraí:1400209",0.2265
"Itanhangá:5104542",0.0698
